,Voting,Jury,Govt_Politics,American_Flag,US_Census,Pledge,Military Support,Respecting_Others,Believing in God,Protesting,Racism_US,Racism_Policing,Society_Whole,Mainstream_Media,Way_People_Talk,Q3_6,educ,race,gender,income_cat,voter_category,age_binned
2286,Not so important,Not so important,Not so important,Not so important,Not so important,Not so important,Not so important,Not so important,Not so important,Not so important,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Some college,White,Female,Less than $40k,rarely/never,22-36
2287,Very Important,Not so important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Not so important,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,College,White,Male,$40-75k,sporadic,66-94
2288,Somewhat important,Very Important,Somewhat important,Not so important,Very Important,Very Important,Not so important,Very Important,Not so important,Somewhat important,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Some college,Black,Female,$40-75k,rarely/never,37-54
2289,Very Important,Somewhat important,Somewhat important,Not at all important,Somewhat important,Not so important,Not so important,Somewhat important,Very Important,Not so important,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,College,Black,Male,$125k or more,always,37-54
2291,Not so important,Somewhat important,Not at all important,Not at all important,Somewhat important,Not at all important,Not so important,Very Important,Not at all important,Not so important,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Some college,Hispanic,Female,$40-75k,rarely/never,22-36
2292,Very Important,Not at all important,Somewhat important,Not so important,Not at all important,Somewhat important,Somewhat important,Somewhat important,Very Important,Not so important,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,College,White,Male,Less than $40k,sporadic,37-54
2293,Very Important,Not so important,Very Important,Not so important,Very Important,Not at all important,Very Important,Very Important,Not so important,Very Important,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,High school or less,Black,Female,Less than $40k,always,66-94
2294,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,High school or less,White,Female,$40-75k,always,66-94
2295,Very Important,Somewhat important,Not so important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Some college,White,Male,$40-75k,always,55-65
2296,Very Important,Somewhat important,Very Important,Not so important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,College,Black,Female,$40-75k,sporadic,55-65
2297,Very Important,Not so important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,High school or less,Hispanic,Male,Less than $40k,sporadic,66-94
2298,Very Important,Very Important,Very Important,Not at all important,Very Important,Very Important,Somewhat important,Very Important,Not so important,Very Important,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,College,White,Male,$125k or more,rarely/never,55-65
2299,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Not so important,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Some college,White,Female,$40-75k,always,66-94
2300,Very Important,Not at all important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Not so important,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,High school or less,Other/Mixed,Female,$125k or more,sporadic,55-65
2301,Very Important,Not at all important,Very Important,Not at all important,Very Important,Somewhat important,Very Important,Very Important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,High school or less,Black,Female,Less than $40k,always,22-36
2302,Very Important,Very Important,Very Important,Not so important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,College,White,Female,$40-75k,sporadic,66-94
2303,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,High school or less,White,Female,Less than $40k,sporadic,66-94
2304,Very Important,Very Important,Very Important,Not at all important,Very Important,Not so important,Somewhat important,Very Important,Not at all important,Somewhat important,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,College,White,Male,$125k or more,always,66-94
2305,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,College,White,Male,$125k or more,rarely/never,37-54
2306,Very Important,Somewhat important,Somewhat important,Not at all important,Very Important,Somewhat important,Not so important,Very Important,Not at all important,Very Important,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Some college,White,Male,Less than $40k,sporadic,22-36
2307,Somewhat important,Not so important,Somewhat important,Very Important,Not so important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,High school or less,White,Female,Less than $40k,rarely/never,55-65
2308,Very Important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Not so important,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,High school or less,Hispanic,Female,$40-75k,always,37-54
2309,Very Important,Very Important,Very Important,Not at all important,Very Important,Not at all important,Not at all important,Not so important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,College,White,Female,$125k or more,sporadic,22-36
2310,Very Important,Not at all important,Somewhat important,Not so important,Very Important,Not at all important,Very Important,Not at all important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,High school or less,Other/Mixed,Male,Less than $40k,rarely/never,37-54
2311,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,High school or less,White,Female,Less than $40k,sporadic,66-94
2312,Very Important,Not so important,Not so important,Not at all important,Very Important,Not so important,Not at all important,Very Important,Not at all important,Not so important,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,College,Hispanic,Male,$125k or more,sporadic,55-65
2313,Somewhat important,Very Important,Not so important,Not so important,Very Important,Not so important,Not so important,Very Important,Not at all important,Not so important,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,College,Other/Mixed,Male,Less than $40k,rarely/never,22-36
2314,Very Important,Very Important,Very Important,Not so important,Very Important,Very Important,Very Important,Very Important,Very Important,Not so important,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,High school or less,Hispanic,Female,$75-125k,sporadic,55-65
2315,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Some college,White,Male,$125k or more,sporadic,55-65
2316,Very Important,Not so important,Not so important,Not at all important,Somewhat important,Somewhat important,Somewhat important,Very Important,Not at all important,Somewhat important,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,High school or less,White,Male,$40-75k,sporadic,37-54
2317,Very Important,Not so important,Very Important,Not at all important,Very Important,Not so important,Not so important,Very Important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Some college,Black,Male,$40-75k,sporadic,22-36
2318,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Not at all important,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,College,White,Female,$40-75k,sporadic,66-94
2319,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,High school or less,White,Male,$40-75k,sporadic,66-94
2321,Very Important,Very Important,Very Important,Not so important,Very Important,Somewhat important,Very Important,Very Important,Not at all important,Very Important,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,College,Other/Mixed,Female,Less than $40k,sporadic,55-65
2322,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,College,Black,Female,$75-125k,always,66-94
2323,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,College,Other/Mixed,Male,$40-75k,rarely/never,22-36
2324,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,College,White,Male,$75-125k,sporadic,66-94
2325,Very Important,Somewhat important,Very Important,Not so important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Some college,Hispanic,Female,$75-125k,sporadic,55-65
2326,Somewhat important,Somewhat important,Not so important,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,College,White,Female,Less than $40k,rarely/never,22-36
2327,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,College,Hispanic,Male,$40-75k,rarely/never,66-94
2328,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Not so important,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,College,Hispanic,Female,$40-75k,always,55-65
2329,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,High school or less,Hispanic,Male,Less than $40k,sporadic,66-94
2330,Very Important,Somewhat important,Very Important,Not so important,Very Important,Somewhat important,Very Important,Very Important,Not so important,Somewhat important,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,College,White,Female,$125k or more,rarely/never,66-94
2331,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Not so important,Somewhat important,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Some college,White,Female,$75-125k,sporadic,55-65
2332,Not so important,Somewhat important,Not so important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not so important,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,High school or less,Hispanic,Male,$40-75k,rarely/never,37-54
2333,Somewhat important,Somewhat important,Very Important,Not at all important,Somewhat important,Not at all important,Not so important,Very Important,Not so important,Very Important,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Some college,Black,Male,Less than $40k,rarely/never,66-94
2334,Very Important,Not at all important,Very Important,Not at all important,Very Important,Not at all important,Somewhat important,Very Important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,College,Black,Female,$75-125k,always,37-54
2335,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,College,White,Male,$75-125k,always,22-36
2336,Very Important,Very Important,Somewhat important,Not so important,Very Important,Somewhat important,Very Important,Very Important,Not at all important,Somewhat important,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Some college,White,Female,$125k or more,always,55-65
2337,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Not so important,Very Important,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,High school or less,Other/Mixed,Male,$75-125k,always,37-54
2338,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,High school or less,Black,Male,Less than $40k,always,66-94
2339,Not so important,Not so important,Somewhat important,Not so important,Very Important,Somewhat important,Somewhat important,Very Important,Not at all important,Somewhat important,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,College,White,Female,$125k or more,rarely/never,37-54
2340,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,High school or less,Black,Female,$40-75k,always,55-65
2341,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Not so important,Not at all important,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Some college,White,Female,$40-75k,sporadic,66-94
2342,Very Important,Somewhat important,Not so important,Not so important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Not so important,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,College,Other/Mixed,Female,$75-125k,rarely/never,37-54
2343,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,College,White,Male,$40-75k,always,66-94
2344,Very Important,Very Important,Very Important,Not so important,Very Important,Very Important,Very Important,Very Important,Not so important,Very Important,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,College,White,Male,$125k or more,sporadic,37-54
2345,Somewhat important,Not so important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Not so important,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,High school or less,White,Female,Less than $40k,sporadic,55-65
2346,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Some college,White,Female,Less than $40k,always,66-94
2347,Very Important,Not so important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,High school or less,Hispanic,Male,Less than $40k,always,55-65
2348,Somewhat important,Not at all important,Somewhat important,Not so important,Not at all important,Not so important,Very Important,Very Important,Not at all important,Not at all important,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,College,White,Male,$75-125k,rarely/never,37-54
2349,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Not at all important,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Some college,White,Male,$125k or more,rarely/never,37-54
2350,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not so important,Somewhat important,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,College,White,Female,$125k or more,always,55-65
2351,Very Important,Very Important,Very Important,Not at all important,Very Important,Not so important,Somewhat important,Very Important,Very Important,Very Important,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,High school or less,Black,Male,$40-75k,sporadic,37-54
2352,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Not so important,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,High school or less,White,Male,$40-75k,sporadic,66-94
2353,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Somewhat important,Somewhat important,Not at all important,Not at all important,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,High school or less,Black,Male,Less than $40k,rarely/never,37-54
2354,Not at all important,Not at all important,Not so important,Not at all important,Somewhat important,Not at all important,Not at all important,Not at all important,Very Important,Not at all important,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,High school or less,Black,Female,Less than $40k,rarely/never,66-94
2355,Very Important,Very Important,Very Important,Not at all important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Some college,Black,Female,$75-125k,always,66-94
2356,Very Important,Very Important,Very Important,Not so important,Very Important,Not so important,Somewhat important,Somewhat important,Not at all important,Very Important,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,College,Hispanic,Male,$75-125k,always,37-54
2358,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Not at all important,Somewhat important,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,High school or less,White,Female,Less than $40k,sporadic,55-65
2359,Very Important,Not so important,Very Important,Not at all important,Very Important,Not at all important,Not so important,Very Important,Not at all important,Very Important,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,College,Other/Mixed,Female,$40-75k,always,22-36
2360,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,High school or less,White,Female,$75-125k,always,37-54
2361,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,College,White,Male,$125k or more,always,66-94
2362,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Not at all important,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,High school or less,White,Female,Less than $40k,rarely/never,66-94
2363,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Not so important,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,High school or less,Hispanic,Male,Less than $40k,sporadic,37-54
2364,Not so important,Not at all important,Not at all important,Very Important,Not at all important,Very Important,Somewhat important,Very Important,Very Important,Not at all important,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Some college,White,Male,$75-125k,sporadic,37-54
2365,Very Important,Not at all important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Some college,White,Male,$40-75k,sporadic,66-94
2366,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Not so important,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Some college,Other/Mixed,Female,Less than $40k,sporadic,37-54
2367,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Not at all important,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Some college,Other/Mixed,Female,$125k or more,always,22-36
2368,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Not at all important,Somewhat important,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,High school or less,Hispanic,Female,$75-125k,sporadic,37-54
2369,Not so important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,High school or less,White,Female,Less than $40k,rarely/never,66-94
2370,Very Important,Somewhat important,Somewhat important,Not so important,Very Important,Not so important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,High school or less,Black,Female,$40-75k,sporadic,55-65
2371,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,College,White,Male,$125k or more,rarely/never,37-54
2372,Very Important,Very Important,Very Important,Not at all important,Very Important,Somewhat important,Very Important,Very Important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,College,Black,Male,$75-125k,sporadic,66-94
2373,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,High school or less,Hispanic,Male,Less than $40k,sporadic,66-94
2374,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,High school or less,White,Female,Less than $40k,sporadic,37-54
2375,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Not so important,Not so important,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,High school or less,White,Female,Less than $40k,always,66-94
2376,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not so important,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,College,White,Male,$125k or more,always,55-65
2377,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Not so important,Somewhat important,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,High school or less,Hispanic,Female,$40-75k,sporadic,66-94
2378,Very Important,Very Important,Somewhat important,Not so important,Very Important,Somewhat important,Somewhat important,Very Important,Not so important,Somewhat important,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,College,Hispanic,Male,$75-125k,sporadic,22-36
2379,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Not at all important,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,College,White,Female,$75-125k,sporadic,22-36
2380,Very Important,Somewhat important,Not at all important,Not at all important,Somewhat important,Not at all important,Somewhat important,Very Important,Not at all important,Not so important,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,High school or less,White,Male,Less than $40k,rarely/never,37-54
2381,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,High school or less,White,Male,$40-75k,always,66-94
2382,Somewhat important,Not so important,Not at all important,Somewhat important,Very Important,Not at all important,Very Important,Somewhat important,Somewhat important,Not so important,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,College,White,Male,$125k or more,always,55-65
2383,Very Important,Somewhat important,Very Important,Not at all important,Very Important,Not so important,Somewhat important,Somewhat important,Not at all important,Somewhat important,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Some college,Other/Mixed,Female,Less than $40k,sporadic,37-54
2384,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Not so important,Very Important,Somewhat important,Somewhat important,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Some college,White,Male,Less than $40k,sporadic,55-65
2385,Somewhat important,Not so important,Not so important,Not at all important,Very Important,Not so important,Very Important,Very Important,Not at all important,Somewhat important,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,High school or less,White,Female,Less than $40k,rarely/never,37-54
2386,Very Important,Not so important,Not so important,Not so important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Not so important,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,College,Hispanic,Male,$125k or more,always,37-54
2387,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Not at all important,Somewhat important,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Some college,White,Male,$75-125k,always,66-94
2388,Very Important,Not so important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,College,Other/Mixed,Male,Less than $40k,sporadic,22-36
2389,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not at all important,Somewhat important,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,College,White,Male,$75-125k,always,55-65
2390,Not at all important,Not so important,Somewhat important,Somewhat important,Not so important,Very Important,Very Important,Very Important,Somewhat important,Not so important,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,High school or less,Hispanic,Male,$40-75k,rarely/never,37-54
2391,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Some college,Black,Male,$40-75k,sporadic,37-54
2392,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not so important,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,High school or less,White,Male,$40-75k,sporadic,55-65
2393,Very Important,Somewhat important,Somewhat important,Not so important,Not so important,Not so important,Very Important,Very Important,Very Important,Somewhat important,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,High school or less,White,Female,$40-75k,sporadic,55-65
