,Voting,Jury,Govt_Politics,American_Flag,US_Census,Pledge,Military Support,Respecting_Others,Believing in God,Protesting,Racism_US,Racism_Policing,Society_Whole,Mainstream_Media,Way_People_Talk,Q3_6,educ,race,gender,income_cat,voter_category,age_binned
62,Not so important,Not so important,Not so important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Not at all important,Not at all important,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Some college,White,Female,$75-125k,rarely/never,22-36
63,Very Important,Very Important,Somewhat important,Not so important,Very Important,Very Important,Very Important,Very Important,Not so important,Somewhat important,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,College,White,Male,$125k or more,sporadic,37-54
64,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Some college,White,Male,Less than $40k,rarely/never,55-65
66,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Some college,Other/Mixed,Male,$125k or more,rarely/never,37-54
67,Very Important,Very Important,Not at all important,Somewhat important,Very Important,Not so important,Somewhat important,Somewhat important,Very Important,Not so important,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,High school or less,White,Female,Less than $40k,rarely/never,55-65
68,Very Important,Somewhat important,Somewhat important,Not so important,Very Important,Not so important,Not so important,Very Important,Not at all important,Very Important,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,College,Other/Mixed,Male,$125k or more,rarely/never,22-36
69,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,College,Black,Male,$40-75k,always,66-94
71,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,College,Other/Mixed,Male,$40-75k,sporadic,66-94
72,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,College,White,Female,$40-75k,rarely/never,22-36
73,Not so important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not so important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,College,White,Male,Less than $40k,sporadic,22-36
75,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,High school or less,White,Male,$40-75k,rarely/never,55-65
76,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,College,Black,Male,$125k or more,sporadic,55-65
77,Very Important,Somewhat important,Very Important,Not at all important,Very Important,Not at all important,Not so important,Very Important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,High school or less,White,Male,$75-125k,always,66-94
79,Very Important,Very Important,Very Important,Not at all important,Very Important,Not at all important,Not so important,Somewhat important,Not at all important,Somewhat important,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,College,White,Male,$125k or more,rarely/never,37-54
80,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,High school or less,Black,Male,$40-75k,sporadic,55-65
81,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,High school or less,White,Male,Less than $40k,rarely/never,66-94
82,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Not so important,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,College,White,Female,$75-125k,always,66-94
